municipalityCode,municipalityName,score,priority,label,url,snippet
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0091341/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0054921/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0082457/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0076366/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0080780/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0079167/",""
"21604","白川村","20","low","ご指定のページは見つかりませんでした","https://www.vill.shirakawa.lg.jp/robots.txt",""
"21604","白川村","20","low","6月1日開始！白川郷バス駐車場予約サイト, Shirakawa-go Bus Parking Res","https://www.vill.shirakawa.lg.jp/2906.htm",""
"21604","白川村","20","low","ご指定のページは見つかりませんでした","https://www.vill.shirakawa.lg.jp/2322.htm",""
"21604","白川村","20","low","くらしの情報","https://www.vill.shirakawa.lg.jp/1000.htm",""
"21604","白川村","20","low","子育て","https://www.vill.shirakawa.lg.jp/1007.htm",""
"21604","白川村","20","low","学校教育","https://www.vill.shirakawa.lg.jp/1008.htm",""
"21604","白川村","20","low","国民健康保険","https://www.vill.shirakawa.lg.jp/1046.htm",""
"21604","白川村","20","low","福祉","https://www.vill.shirakawa.lg.jp/1055.htm",""
"21604","白川村","20","low","健康・医療","https://www.vill.shirakawa.lg.jp/1058.htm",""
"21604","白川村","20","low","世界遺産エリア","https://www.vill.shirakawa.lg.jp/1960.htm",""
"21604","白川村","20","low","平瀬温泉エリア","https://www.vill.shirakawa.lg.jp/1959.htm",""
"21604","白川村","20","low","見る","https://www.vill.shirakawa.lg.jp/2165.htm",""
"21604","白川村","20","low","住まいを探す","https://www.vill.shirakawa.lg.jp/1943.htm",""
"21604","白川村","20","low","仕事を探す","https://www.vill.shirakawa.lg.jp/1944.htm",""
"21604","白川村","20","low","農業","https://www.vill.shirakawa.lg.jp/2255.htm",""
"21604","白川村","20","low","林業","https://www.vill.shirakawa.lg.jp/2373.htm",""
"21604","白川村","20","low","白川村ふるさと納税","https://www.vill.shirakawa.lg.jp/1253.htm",""
"21604","白川村","20","low","ご指定のページは見つかりませんでした","https://www.vill.shirakawa.lg.jp/1365.htm",""
"21604","白川村","20","low","白川村について","https://www.vill.shirakawa.lg.jp/1004.htm",""
"21604","白川村","20","low","ご指定のページは見つかりませんでした","https://www.vill.shirakawa.lg.jp/1037.htm",""
"21604","白川村","20","low","サイトの使い方","https://www.vill.shirakawa.lg.jp/1038.htm",""
"21604","白川村","20","low","暮らしを知る","https://www.vill.shirakawa.lg.jp/2387.htm",""
"21604","白川村","20","low","戸籍届","https://www.vill.shirakawa.lg.jp/1136.htm",""
"21604","白川村","20","low","白川村議会","https://www.vill.shirakawa.lg.jp/1098.htm",""
"21604","白川村","20","low","https://www.vill.shirakawa.lg.jp/hidanichi/","https://www.vill.shirakawa.lg.jp/hidanichi/",""
"21604","白川村","20","low","白川村シェアハウスやまごや以上ほしぞら未満","https://www.vill.shirakawa.lg.jp/1274.htm",""
"21604","白川村","20","low","空き家バンク","https://www.vill.shirakawa.lg.jp/1402.htm",""
"21604","白川村","20","low","［No.001］3LDKの平屋","https://www.vill.shirakawa.lg.jp/1403.htm",""
"21604","白川村","20","low","［No.004］7LDKの2階建て","https://www.vill.shirakawa.lg.jp/1405.htm",""
"21604","白川村","20","low","［No.007］2LDK＋車庫の2階建","https://www.vill.shirakawa.lg.jp/2385.htm",""
"21604","白川村","20","low","白川村シェアハウスやまごや以上ほしぞら未満","https://www.vill.shirakawa.lg.jp/1274.htm",""
"21604","白川村","20","low","サイトの使い方","https://www.vill.shirakawa.lg.jp/item/1044.htm",""
"22101","静岡市","20","low","静岡市","https://www.city.shizuoka.lg.jp/",""
"22101","静岡市","20","low","ページが見つかりません","https://www.city.shizuoka.lg.jp/robots.txt",""
"22101","静岡市","20","low","静岡市","https://www.city.shizuoka.lg.jp/index.html",""
